ISBN	Not Found	Z39.50 Unsupported	Offline	Other Errors	Next Try
9780984314515	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:09:20
9780271007410	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:09:27
9780521616287	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:09:51
9780826608437	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:09:58
9780989055406	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:10:03
9781558628	[OpenLibrary | Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]			2026-03-06 17:10:10
9781933967332	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:10:12
9781118727997	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:10:14
9782296139015	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:10:15
9786022042358	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:10:18
9787544912358	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:10:20
9788498165821	[Harvard LibraryCloud | Library of Congress]	[Oxford | Toronto | NYC | UAlberta | ashalumni]		OpenLibrary: name 'validate_lccn' is not defined	2026-03-06 17:10:22
